Country Code,Country,Region,Year,Energy use (kg of oil equivalent per capita),CO2 (kt)
WLD,World,,1971,1336.2072488594501,15323175.556
WLD,World,,1972,1370.8369358451,15957192.522
WLD,World,,1973,1416.95302968802,16822109.477
WLD,World,,1974,1389.17274611466,16850822.087
WLD,World,,1975,1364.1513635496901,16745791.873
WLD,World,,1976,1418.86755911328,17726098.317
WLD,World,,1977,1442.86482440697,18279804.316
WLD,World,,1978,1474.07585892615,18497906.475
WLD,World,,1979,1490.82153590181,19533547.949
WLD,World,,1980,1452.3155156517098,19324327.264000002
WLD,World,,1981,1411.8523454555,18726246.898
WLD,World,,1982,1381.3257706826098,18562354.0
WLD,World,,1983,1371.8361552396302,18484356.91
WLD,World,,1984,1403.22040373699,19145865.375
WLD,World,,1985,1413.3197375839002,19719241.162
WLD,World,,1986,1415.32967497928,20315356.016
WLD,World,,1987,1441.68645498125,20817151.963
WLD,World,,1988,1466.9799301319001,21565403.313
WLD,World,,1989,1473.43100549805,22029385.156
WLD,World,,1990,1660.9197098603302,22149402.399
WLD,World,,1991,1647.03614374941,22403928.869000003
WLD,World,,1992,1618.6570510438098,22183417.491
WLD,World,,1993,1610.5514745832502,22162174.56
WLD,World,,1994,1596.5985395437601,22551690.634
WLD,World,,1995,1613.74729755201,23037524.13
WLD,World,,1996,1630.9433497207199,23571556.674000002
WLD,World,,1997,1624.11474286601,23975007.348
WLD,World,,1998,1609.1248966776998,24114192.0
WLD,World,,1999,1621.62581051927,24059187.0
WLD,World,,2000,1635.0647383319501,24689911.0
WLD,World,,2001,1634.36947773353,25276631.0
WLD,World,,2002,1647.14641662565,25646998.0
WLD,World,,2003,1686.3284266219698,27047792.0
WLD,World,,2004,1737.6298913731698,28393581.0
WLD,World,,2005,1764.81915133029,29490014.0
WLD,World,,2006,1794.34388927677,30568112.0
WLD,World,,2007,1821.7192979088,31180501.0
WLD,World,,2008,1827.32603275345,32181592.0
WLD,World,,2009,1793.81304374823,31891899.0
WLD,World,,2010,1871.9723979574499,33472376.0
WLD,World,,2011,1878.80570501793,34847501.0
WLD,World,,2012,1890.8832721459,35470891.0
WLD,World,,2013,1893.5617955369198,35837591.0
WLD,World,,2014,1920.6550938004998,36138285.0
